gene	donor_id	sample	development_stage	sex	cell_type_level_4_explore	n_cells	n_detected	detection_fraction	matrix_used
LOX	postnatal_10m_donor	baut6	10-month-old stage	unknown	cTECII	72	0	0	X
LOX	postnatal_10m_donor	baut6	10-month-old stage	unknown	cTECIII	48	0	0	X
LOX	postnatal_10m_donor	baut6	10-month-old stage	unknown	mTECI	253	3	0.0118577	X
LOX	postnatal_10m_donor	baut6	10-month-old stage	unknown	mTECI-trans	19	0	0	X
LOX	postnatal_10m_donor	baut6	10-month-old stage	unknown	mTECII	35	0	0	X
LOX	postnatal_10m_donor	baut6	10-month-old stage	unknown	mTECIII	204	6	0.0294118	X
LOX	postnatal_10m_donor	baut6	10-month-old stage	unknown	mcTEC	212	5	0.0235849	X
LOX	postnatal_10m_donor	baut6	10-month-old stage	unknown	mcTEC-Prolif	4	0	0	X
LOX	postnatal_6d_donor	baut4	newborn stage (0-28 days)	unknown	TEC-neuro	1	0	0	X
LOX	postnatal_6d_donor	baut4	newborn stage (0-28 days)	unknown	cTECI	3	0	0	X
LOX	postnatal_6d_donor	baut4	newborn stage (0-28 days)	unknown	cTECII	1	0	0	X
LOX	postnatal_6d_donor	baut4	newborn stage (0-28 days)	unknown	cTECIII	38	1	0.0263158	X
LOX	postnatal_6d_donor	baut4	newborn stage (0-28 days)	unknown	mTECI	5	1	0.2	X
LOX	postnatal_6d_donor	baut4	newborn stage (0-28 days)	unknown	mTECII	8	0	0	X
LOX	postnatal_6d_donor	baut4	newborn stage (0-28 days)	unknown	mTECIII	42	1	0.0238095	X
LOX	postnatal_6d_donor	baut4	newborn stage (0-28 days)	unknown	mcTEC	2	0	0	X
LOXL1	6m_thymus_donor	GSM4838951	6-month-old stage	female	TEC-cilliated	10	3	0.3	X
LOXL1	6m_thymus_donor	GSM4838951	6-month-old stage	female	TEC-myo	1	0	0	X
LOXL1	6m_thymus_donor	GSM4838951	6-month-old stage	female	TEC-neuro	20	0	0	X
LOXL1	6m_thymus_donor	GSM4838951	6-month-old stage	female	cTECI	20	2	0.1	X
LOXL1	6m_thymus_donor	GSM4838951	6-month-old stage	female	cTECII	42	1	0.0238095	X
LOXL1	6m_thymus_donor	GSM4838951	6-month-old stage	female	cTECIII	130	3	0.0230769	X
LOXL1	6m_thymus_donor	GSM4838951	6-month-old stage	female	mTECI	27	3	0.111111	X
LOXL1	6m_thymus_donor	GSM4838951	6-month-old stage	female	mTECI-trans	4	0	0	X
LOXL1	6m_thymus_donor	GSM4838951	6-month-old stage	female	mTECIII	5	0	0	X
LOXL1	6m_thymus_donor	GSM4838951	6-month-old stage	female	mcTEC	16	0	0	X
LOXL1	6m_thymus_donor	GSM4838951	6-month-old stage	female	mcTEC-Prolif	1	0	0	X
LOXL1	6m_thymus_donor	GSM4838952	6-month-old stage	female	TEC-cilliated	2	0	0	X
LOXL1	6m_thymus_donor	GSM4838952	6-month-old stage	female	TEC-neuro	15	1	0.0666667	X
LOXL1	6m_thymus_donor	GSM4838952	6-month-old stage	female	cTECI	18	1	0.0555556	X
LOXL1	6m_thymus_donor	GSM4838952	6-month-old stage	female	cTECII	214	12	0.0560748	X
LOXL1	6m_thymus_donor	GSM4838952	6-month-old stage	female	cTECIII	779	21	0.0269576	X
LOXL1	6m_thymus_donor	GSM4838952	6-month-old stage	female	mTECI	2	0	0	X
LOXL1	6m_thymus_donor	GSM4838952	6-month-old stage	female	mTECII	1	0	0	X
LOXL1	6m_thymus_donor	GSM4838952	6-month-old stage	female	mTECIII	11	0	0	X
